rollover_12m,marginal_effect,se,ci_low,ci_high
0.20776307300698188,2.4874656559728034,2.2171044698714977,-1.8580591049753323,6.832990416920939
0.211610537321926,2.5267657422628567,2.2625937188393017,-1.9079179466621747,6.961449431187888
0.21545800163687012,2.566065828552909,2.308805232967516,-1.9591924280634219,7.09132408516924
0.21930546595181422,2.605365914842962,2.355696506782134,-2.0117992384500205,7.222531068135945
0.22315293026675834,2.6446660011330145,2.403227750628963,-2.0656603900997537,7.354992392365783
0.22700039458170243,2.6839660874230677,2.451361738251003,-2.120702919548898,7.4886350943950335
0.23084785889664655,2.72326617371312,2.5000636558233973,-2.1768585917007384,7.6233909391269785
0.23469532321159065,2.7625662600031733,2.5493009543044076,-2.2340636104334655,7.759196130439812
0.23854278752653477,2.8018663462932256,2.5990432064715483,-2.292258338391009,7.89599103097746
0.24239025184147886,2.841166432583279,2.6492619696124224,-2.3513870278570694,8.033719893023626
0.24623771615642298,2.880466518873331,2.699930654517577,-2.4113975639811196,8.172330601727783
0.2500851804713671,2.9197666051633835,2.7510244011664042,-2.4722412211227685,8.311774431449535
0.2539326447863112,2.9590666914534367,2.8025199612959883,-2.5338724326867004,8.452005815593573
0.2577801091012553,2.99836677774349,2.8543955878876015,-2.596248574516209,8.59298213000319
0.2616275734161994,3.0376668640335422,2.9066309314878924,-2.659329761682727,8.734663489749812
0.2654750377311435,3.0769669503235946,2.959206943194811,-2.7230786583382356,8.877012558985424
0.26932250204608765,3.116267036613648,3.0121057840757897,-2.7874603001748994,9.019994373402195
0.27316996636103175,3.155567122903701,3.065310740742855,-2.8524419289522944,9.163576174759697
0.27701743067597584,3.1948672091937533,3.118806146781879,-2.917992838498729,9.307727256886235
0.28086489499092,3.2341672954838065,3.172577309717699,-2.9840842315628837,9.452418822530497
0.2847123593058641,3.273467381773859,3.226610443190653,-3.050689086879821,9.597623850427539
0.2885598236208082,3.312767468063912,3.280892604020835,-3.1177820358169237,9.743316971944747
0.29240728793575227,3.3520675543539644,3.335411633842288,-3.18533924797692,9.889474356684849
0.2962547522506964,3.3913676406440176,3.3901561049990896,-3.253338325154198,10.036073606442233
0.3001022165656405,3.43066772693407,3.4451152704074994,-3.321758203064629,10.183093656932769
0.3039496808805846,3.4699678132241223,3.5002790171024247,-3.3905790602966297,10.330514686744873
